bootstrap_iteration,statistic,p_value,significant,comparison
377,0.006323809576156639,0.9367331691054199,False,Pre vs Post Inauguration
378,1.1272363899146456,0.29023361784989443,False,Pre vs Post Inauguration
379,2.149038235696877,0.14495070025402446,False,Pre vs Post Inauguration
380,0.5170065543982693,0.47334605352645753,False,Pre vs Post Inauguration
381,0.10096611073692124,0.7511571278946613,False,Pre vs Post Inauguration
382,1.0403334748497555,0.30954170921694746,False,Pre vs Post Inauguration
383,1.2905631130592723,0.25792756497926955,False,Pre vs Post Inauguration
384,0.5587555469458224,0.45604318322074444,False,Pre vs Post Inauguration
385,0.04693656118331259,0.8288045834502241,False,Pre vs Post Inauguration
386,1.1721091831977342,0.280870121926851,False,Pre vs Post Inauguration
387,0.8041376721634949,0.37143220431835045,False,Pre vs Post Inauguration
388,1.8639653728394754,0.1744055012708069,False,Pre vs Post Inauguration
389,0.805759394588934,0.37095174441707934,False,Pre vs Post Inauguration
390,0.3987772762059861,0.5287736472544833,False,Pre vs Post Inauguration
391,1.5950584840875348,0.20875019052751234,False,Pre vs Post Inauguration
392,0.1207834138119564,0.72871971882118,False,Pre vs Post Inauguration
393,0.4377321879450577,0.5093303124882945,False,Pre vs Post Inauguration
394,0.3819350441629189,0.537595459434662,False,Pre vs Post Inauguration
395,0.1385474379856077,0.7103044928990792,False,Pre vs Post Inauguration
396,3.1563395727969716,0.07785201181499783,False,Pre vs Post Inauguration
