bootstrap_iteration,d_statistic,p_value,significant,comparison
287,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
288,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
289,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
290,0.812215320910973,2.7141543468775184e-23,True,Pre vs Post Inauguration
291,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
292,0.8136645962732919,4.6966158103418085e-24,True,Pre vs Post Inauguration
293,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
294,0.7840579710144927,1.4678192490832136e-21,True,Pre vs Post Inauguration
295,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
296,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
297,0.798343685300207,1.9414775697077533e-22,True,Pre vs Post Inauguration
298,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
299,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
300,0.8271221532091098,2.2550392555595806e-24,True,Pre vs Post Inauguration
301,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
302,0.9140786749482401,6.30057831531461e-32,True,Pre vs Post Inauguration
303,0.8695652173913043,1.746971572410442e-27,True,Pre vs Post Inauguration
304,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
305,0.9279503105590062,1.3818702366597354e-32,True,Pre vs Post Inauguration
306,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
307,0.8277432712215321,8.52187909368627e-25,True,Pre vs Post Inauguration
308,0.8269151138716356,2.5740187221583175e-24,True,Pre vs Post Inauguration
309,0.7830227743271222,2.0768950364310817e-21,True,Pre vs Post Inauguration
310,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
311,0.8424430641821946,3.5432581776248016e-26,True,Pre vs Post Inauguration
312,0.8130434782608695,1.529711835041579e-23,True,Pre vs Post Inauguration
313,0.8848861283643892,7.770654204755933e-29,True,Pre vs Post Inauguration
314,0.7991718426501035,5.634572462458688e-23,True,Pre vs Post Inauguration
315,0.8987577639751553,7.19011066140718e-30,True,Pre vs Post Inauguration
316,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
317,0.8848861283643892,7.770654204755933e-29,True,Pre vs Post Inauguration
318,0.9132505175983436,3.7499294012103955e-31,True,Pre vs Post Inauguration
319,0.8995859213250518,2.0700162893804662e-30,True,Pre vs Post Inauguration
320,0.8134575569358178,7.112766378276307e-24,True,Pre vs Post Inauguration
321,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
322,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
323,0.8126293995859213,2.3481470322555298e-23,True,Pre vs Post Inauguration
324,0.8697722567287784,1.7401962107126535e-27,True,Pre vs Post Inauguration
325,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
326,0.8552795031055901,2.2657982548798836e-26,True,Pre vs Post Inauguration
327,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
328,0.768944099378882,1.573281046749262e-20,True,Pre vs Post Inauguration
329,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
330,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
331,0.8424430641821946,3.5432581776248016e-26,True,Pre vs Post Inauguration
332,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
333,0.884472049689441,1.145120546192707e-28,True,Pre vs Post Inauguration
334,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
335,0.9422360248447205,5.911425577738071e-34,True,Pre vs Post Inauguration
336,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
337,0.8995859213250518,2.0700162893804662e-30,True,Pre vs Post Inauguration
338,0.8412008281573499,2.5361180565893416e-25,True,Pre vs Post Inauguration
339,0.8846790890269152,1.0117821725744263e-28,True,Pre vs Post Inauguration
340,0.7548654244306419,1.0481669424078779e-19,True,Pre vs Post Inauguration
341,0.8699792960662526,1.696843371877163e-27,True,Pre vs Post Inauguration
342,0.7989648033126294,8.338567595819699e-23,True,Pre vs Post Inauguration
343,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
344,0.7554865424430642,6.642436207233858e-20,True,Pre vs Post Inauguration
345,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
346,0.8993788819875776,3.828419385099035e-30,True,Pre vs Post Inauguration
347,0.9279503105590062,1.3818702366597354e-32,True,Pre vs Post Inauguration
348,0.7842650103519668,1.1656404183016831e-21,True,Pre vs Post Inauguration
349,0.8267080745341615,2.74904237705152e-24,True,Pre vs Post Inauguration
350,0.9136645962732919,2.53387419087263e-31,True,Pre vs Post Inauguration
351,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
352,0.8269151138716356,2.5740187221583175e-24,True,Pre vs Post Inauguration
353,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
354,0.8134575569358178,7.112766378276307e-24,True,Pre vs Post Inauguration
355,0.7979296066252588,2.3785870102727593e-22,True,Pre vs Post Inauguration
356,0.7840579710144927,1.4678192490832136e-21,True,Pre vs Post Inauguration
357,0.7840579710144927,1.4678192490832136e-21,True,Pre vs Post Inauguration
358,0.7979296066252588,2.3785870102727593e-22,True,Pre vs Post Inauguration
359,0.784472049689441,8.63461587520153e-22,True,Pre vs Post Inauguration
360,0.8273291925465839,1.8052081556307332e-24,True,Pre vs Post Inauguration
361,0.798343685300207,1.9414775697077533e-22,True,Pre vs Post Inauguration
362,0.827536231884058,1.3020190092974747e-24,True,Pre vs Post Inauguration
363,0.8118012422360248,2.773785597648144e-23,True,Pre vs Post Inauguration
364,0.855072463768116,2.271063044133575e-26,True,Pre vs Post Inauguration
365,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
366,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
367,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
