bootstrap_iteration,delta,interpretation,comparison
371,0.4875642343268243,Large,Post-Inauguration vs Entire Period
372,0.4576567317574512,Medium,Post-Inauguration vs Entire Period
373,0.3381294964028777,Medium,Post-Inauguration vs Entire Period
374,0.5251798561151079,Large,Post-Inauguration vs Entire Period
375,0.4714285714285714,Medium,Post-Inauguration vs Entire Period
376,0.478622816032888,Large,Post-Inauguration vs Entire Period
377,0.5230215827338129,Large,Post-Inauguration vs Entire Period
378,0.4721479958890031,Medium,Post-Inauguration vs Entire Period
379,0.4810894141829394,Large,Post-Inauguration vs Entire Period
380,0.43997944501541625,Medium,Post-Inauguration vs Entire Period
381,0.3620760534429599,Medium,Post-Inauguration vs Entire Period
382,0.47852004110996915,Large,Post-Inauguration vs Entire Period
383,0.5266187050359712,Large,Post-Inauguration vs Entire Period
384,0.43730729701952725,Medium,Post-Inauguration vs Entire Period
385,0.48776978417266187,Large,Post-Inauguration vs Entire Period
386,0.5278520041109969,Large,Post-Inauguration vs Entire Period
387,0.3789311408016444,Medium,Post-Inauguration vs Entire Period
388,0.36649537512846864,Medium,Post-Inauguration vs Entire Period
389,0.6147995889003083,Large,Post-Inauguration vs Entire Period
390,0.5143884892086331,Large,Post-Inauguration vs Entire Period
391,0.5462487153134635,Large,Post-Inauguration vs Entire Period
392,0.45940390544707094,Medium,Post-Inauguration vs Entire Period
393,0.4916752312435766,Large,Post-Inauguration vs Entire Period
394,0.48746145940390545,Large,Post-Inauguration vs Entire Period
395,0.4897225077081192,Large,Post-Inauguration vs Entire Period
396,0.42569373072970196,Medium,Post-Inauguration vs Entire Period
397,0.42589928057553955,Medium,Post-Inauguration vs Entire Period
398,0.2944501541623844,Small,Post-Inauguration vs Entire Period
399,0.44943473792394656,Medium,Post-Inauguration vs Entire Period
400,0.4279547790339157,Medium,Post-Inauguration vs Entire Period
401,0.5881808838643371,Large,Post-Inauguration vs Entire Period
402,0.5064748201438849,Large,Post-Inauguration vs Entire Period
403,0.5004110996916752,Large,Post-Inauguration vs Entire Period
404,0.3509763617677287,Medium,Post-Inauguration vs Entire Period
405,0.4273381294964029,Medium,Post-Inauguration vs Entire Period
406,0.4829393627954779,Large,Post-Inauguration vs Entire Period
407,0.4553956834532374,Medium,Post-Inauguration vs Entire Period
408,0.3932168550873587,Medium,Post-Inauguration vs Entire Period
409,0.4510791366906475,Medium,Post-Inauguration vs Entire Period
410,0.47564234326824256,Large,Post-Inauguration vs Entire Period
411,0.4975334018499486,Large,Post-Inauguration vs Entire Period
412,0.44552929085303183,Medium,Post-Inauguration vs Entire Period
413,0.4694758478931141,Medium,Post-Inauguration vs Entire Period
414,0.47574511819116133,Large,Post-Inauguration vs Entire Period
415,0.447584789311408,Medium,Post-Inauguration vs Entire Period
416,0.3513874614594039,Medium,Post-Inauguration vs Entire Period
417,0.4325796505652621,Medium,Post-Inauguration vs Entire Period
418,0.4889003083247688,Large,Post-Inauguration vs Entire Period
419,0.44028776978417267,Medium,Post-Inauguration vs Entire Period
420,0.5649537512846865,Large,Post-Inauguration vs Entire Period
421,0.49229188078108943,Large,Post-Inauguration vs Entire Period
422,0.4250770811921891,Medium,Post-Inauguration vs Entire Period
423,0.4947584789311408,Large,Post-Inauguration vs Entire Period
424,0.42158273381294964,Medium,Post-Inauguration vs Entire Period
425,0.4241521068859198,Medium,Post-Inauguration vs Entire Period
426,0.44224049331963,Medium,Post-Inauguration vs Entire Period
427,0.4419321685508736,Medium,Post-Inauguration vs Entire Period
428,0.5416238437821171,Large,Post-Inauguration vs Entire Period
429,0.4619732785200411,Medium,Post-Inauguration vs Entire Period
430,0.5498458376156218,Large,Post-Inauguration vs Entire Period
431,0.42620760534429597,Medium,Post-Inauguration vs Entire Period
432,0.4103802672147996,Medium,Post-Inauguration vs Entire Period
433,0.4748201438848921,Large,Post-Inauguration vs Entire Period
434,0.36361767728674205,Medium,Post-Inauguration vs Entire Period
435,0.473792394655704,Medium,Post-Inauguration vs Entire Period
436,0.48663926002055496,Large,Post-Inauguration vs Entire Period
437,0.5402877697841727,Large,Post-Inauguration vs Entire Period
438,0.4708119218910586,Medium,Post-Inauguration vs Entire Period
439,0.4212744090441932,Medium,Post-Inauguration vs Entire Period
440,0.478622816032888,Large,Post-Inauguration vs Entire Period
441,0.4539568345323741,Medium,Post-Inauguration vs Entire Period
442,0.3680369989722508,Medium,Post-Inauguration vs Entire Period
443,0.5718396711202467,Large,Post-Inauguration vs Entire Period
444,0.4552929085303186,Medium,Post-Inauguration vs Entire Period
445,0.46783144912641317,Medium,Post-Inauguration vs Entire Period
446,0.45056526207605346,Medium,Post-Inauguration vs Entire Period
447,0.5201438848920863,Large,Post-Inauguration vs Entire Period
448,0.3804727646454265,Medium,Post-Inauguration vs Entire Period
449,0.5723535457348407,Large,Post-Inauguration vs Entire Period
450,0.42456320657759505,Medium,Post-Inauguration vs Entire Period
451,0.4510791366906475,Medium,Post-Inauguration vs Entire Period
452,0.4749229188078109,Large,Post-Inauguration vs Entire Period
453,0.5410071942446043,Large,Post-Inauguration vs Entire Period
454,0.47399794450154165,Medium,Post-Inauguration vs Entire Period
